Frequency,S33,S32,S23,S22
(3901000000+0j),(0.7554629445-0.2419889934j),(0.001627704012-0.005785791669j),(0.001822135528-0.005794614553j),(-0.08814073354-0.2786456132j)
(3902000000+0j),(0.7308642864-0.2980170966j),(0.001197777339-0.005916301161j),(0.001388669712-0.005968961865j),(-0.1094722524-0.2726655832j)
(3903000000+0j),(0.7009328604-0.3526650588j),(0.0007078506751-0.00602806313j),(0.0008581326692-0.006119090132j),(-0.1301460117-0.2643855097j)
(3904000000+0j),(0.6662541032-0.4065011915j),(0.0001258095872-0.006122502498j),(0.0003424491151-0.006314286962j),(-0.1498786807-0.2540552116j)
(3905000000+0j),(0.6262753606-0.4567043737j),(-0.0003860678116-0.006300924812j),(-0.0001739257568-0.006353633478j),(-0.1685659736-0.2417679222j)
(3906000000+0j),(0.5813430548-0.5044815323j),(-0.0008080711123-0.006321113557j),(-0.0007468080148-0.006366507616j),(-0.1860382408-0.2275608889j)
(3907000000+0j),(0.5320444107-0.5478592205j),(-0.001528864843-0.006258584559j),(-0.001278602402-0.006354578305j),(-0.201798588-0.2116352643j)
(3908000000+0j),(0.4773005843-0.5880615161j),(-0.002052660566-0.006151293404j),(-0.001913172193-0.006287416909j),(-0.2157756388-0.1942640511j)
(3909000000+0j),(0.4184363186-0.623318216j),(-0.002595341532-0.006084670313j),(-0.002391960938-0.006187177263j),(-0.2281024456-0.1752656762j)
(3910000000+0j),(0.3554095626-0.6536130209j),(-0.003168842057-0.005954836961j),(-0.003000588156-0.006048072129j),(-0.2382018566-0.1552109535j)
(3911000000+0j),(0.288787514-0.6778317322j),(-0.00377293909-0.005700758193j),(-0.003620542819-0.005876802839j),(-0.2459381819-0.1345249111j)
(3912000000+0j),(0.2187071294-0.6960371013j),(-0.004308756441-0.005392714404j),(-0.004127250984-0.00552722998j),(-0.2514669001-0.113250122j)
(3913000000+0j),(0.1466323286-0.7072222135j),(-0.0049248836-0.004992060829j),(-0.004711597227-0.00515796477j),(-0.2546707392-0.09153021786j)
(3914000000+0j),(0.07228149474-0.7113363289j),(-0.005413395353-0.004582745954j),(-0.005216374528-0.004854456056j),(-0.2554879487-0.06985895337j)
(3915000000+0j),(-0.003018933116-0.7078475259j),(-0.005918781273-0.004067703616j),(-0.005687621422-0.004290004261j),(-0.2539629638-0.04859692476j)
(3916000000+0j),(-0.07875079662-0.6965651825j),(-0.006260910537-0.003676201217j),(-0.006145089865-0.00378820044j),(-0.2501859069-0.02783087322j)
(3917000000+0j),(-0.1534541845-0.6769689221j),(-0.006672601681-0.002969947876j),(-0.006539620925-0.003245812841j),(-0.2441907227-0.007827101508j)
(3918000000+0j),(-0.22659944-0.6495384366j),(-0.007011429872-0.002329938579j),(-0.006919756066-0.002610434545j),(-0.2360616773+0.0108883432j)
(3919000000+0j),(-0.2972234488-0.6139481746j),(-0.00727051124-0.001710790093j),(-0.007178617641-0.001919144182j),(-0.2260222584+0.02827721544j)
(3920000000+0j),(-0.3639041483-0.5708416655j),(-0.007469755597-0.0009281762759j),(-0.007416897919-0.001198113663j),(-0.2143069804+0.0440629197j)
(3921000000+0j),(-0.4259889722-0.5202778877j),(-0.007591369562-0.0002729873522j),(-0.007512091659-0.000503352785j),(-0.2012782991+0.05822021693j)
(3922000000+0j),(-0.4821414351-0.4637226097j),(-0.007641329896+0.000529742043j),(-0.007585722953+0.0002072645584j),(-0.1871150285+0.07028318311j)
(3923000000+0j),(-0.5322901607-0.4004864739j),(-0.007433709688+0.001388169476j),(-0.007552694995+0.0008794704336j),(-0.1719247401+0.0803928869j)
(3924000000+0j),(-0.5751826763-0.3329188866j),(-0.007378345821+0.001971457154j),(-0.007562824525+0.001649574609j),(-0.1559115797+0.08853616308j)
(3925000000+0j),(-0.6106512547-0.2605183125j),(-0.00726926839+0.002757661277j),(-0.007359199226+0.002396456897j),(-0.1395578682+0.09478294509j)
(3926000000+0j),(-0.6378109455-0.1848606776j),(-0.006958577782+0.003418244887j),(-0.007139645983+0.00303300051j),(-0.1227997839+0.09883165709j)
(3927000000+0j),(-0.6564515829-0.1072781375j),(-0.006576031446+0.004098748323j),(-0.006795873865+0.003707558615j),(-0.1059427187+0.1006093408j)
(3928000000+0j),(-0.6668029428-0.02846827894j),(-0.006117864978+0.004716688301j),(-0.006395822857+0.004410242662j),(-0.08932249993+0.1001936427j)
