Frequency,Complex S33,Complex S32,Complex S23,Complex S22
(4105000000+0j),(0.7255221009+0.192316792j),(0.0001426458912+9.576845332e-05j),(9.950152889e-05+0.0001019992851j),(-0.2071194798-0.1970213241j)
(4106000000+0j),(0.7357464433+0.1426983891j),(0.0001552828035+9.401857096e-05j),(9.474002582e-05+9.023457824e-05j),(-0.2240764201-0.1853967741j)
(4107000000+0j),(0.7420390844+0.09281883933j),(0.0001147709481+8.276427252e-05j),(5.817900092e-05+6.705888609e-06j),(-0.2402997911-0.1721369253j)
(4108000000+0j),(0.7447479367+0.04161399906j),(0.000169376508+5.351243817e-05j),(0.0001492552692+7.744392497e-05j),(-0.2554184496-0.1570932153j)
(4109000000+0j),(0.7432384491-0.009062767848j),(0.0002039909596+0.0001048205086j),(0.0001638956601+8.640871238e-05j),(-0.2690804899-0.140525109j)
(4110000000+0j),(0.737795651-0.06035191235j),(0.000167395905+3.882571946e-06j),(0.0001742433524+4.369836824e-05j),(-0.2813158333-0.1226419967j)
(4111000000+0j),(0.7282821536-0.1116241642j),(0.0001315932896+1.80814568e-05j),(0.0001569680317+6.404013402e-05j),(-0.2920000255-0.1034598681j)
(4112000000+0j),(0.7147274613-0.1616788784j),(0.0001101024536+5.727197276e-06j),(0.000212332001+1.719947431e-05j),(-0.3009710014-0.0831702665j)
(4113000000+0j),(0.6971325278-0.2108539927j),(0.0001364055643+7.479159194e-06j),(0.0001344864722-1.265001538e-05j),(-0.3080823123-0.06176578753j)
(4114000000+0j),(0.6754214168-0.2593775296j),(9.121983749e-05-2.915171171e-05j),(0.0001484631939-1.465688547e-05j),(-0.3130204082-0.03951454578j)
(4115000000+0j),(0.64961344-0.3066715189j),(8.977133984e-05-5.458514352e-05j),(0.0001482981897-7.024424849e-05j),(-0.3156601191-0.01694968475j)
(4116000000+0j),(0.6197658777-0.3514809928j),(0.000120494602-9.133746789e-05j),(0.0001983363181-4.903681838e-05j),(-0.3162068427+0.005798320118j)
(4117000000+0j),(0.5860421062-0.3943727059j),(0.000176311325-0.0001002551944j),(0.0001737260609-2.736446004e-05j),(-0.3146419227+0.02858501309j)
(4118000000+0j),(0.5483686328-0.4349229949j),(0.0001220560735-9.329715249e-05j),(0.0001917275949-6.979742466e-05j),(-0.3109810948+0.05127212474j)
(4119000000+0j),(0.5065492988-0.4729083102j),(0.0001274489186-0.000131835448j),(0.0001494256139-0.0001060445502j),(-0.3049921691+0.07342739721j)
(4120000000+0j),(0.4611902237-0.5073118669j),(0.0001207459864-0.0001294431568j),(0.0001435235463-0.0001866836974j),(-0.296575129+0.09494142683j)
(4121000000+0j),(0.4128182232-0.5378535251j),(0.000162965036-0.0001178572347j),(0.0001568016887-0.0001522687526j),(-0.2863942981+0.1154010037j)
(4122000000+0j),(0.3610818386-0.5644906337j),(0.0001200674014-0.0001622136188j),(0.0001276391413-0.0001432606805j),(-0.2741836309+0.1343523153j)
(4123000000+0j),(0.3062976897-0.5869286917j),(0.0001002167628-0.0001459895138j),(5.8661004e-05-0.0001570922614j),(-0.2603079975+0.1520799035j)
(4124000000+0j),(0.248639375-0.6043229029j),(0.000138891206-0.0001604764693j),(9.743309784e-05-0.0001639017573j),(-0.2450091839+0.1680729337j)
(4125000000+0j),(0.189001888-0.6166580449j),(9.886438056e-05-0.0001273349335j),(8.255067951e-05-0.0001455792226j),(-0.2281510681+0.1826344343j)
(4126000000+0j),(0.127695024-0.6234833466j),(4.213353532e-05-0.0001618370588j),(9.601456259e-05-0.0001389404642j),(-0.2101434618+0.1951666576j)
(4127000000+0j),(0.065281488-0.624448688j),(6.195638707e-05-0.0001818172459j),(4.809915481e-05-0.0001972723112j),(-0.190970093+0.2055575964j)
(4128000000+0j),(0.002160843927-0.6194745035j),(-5.399242127e-06-0.0001934299653j),(7.65977893e-06-0.0001857255993j),(-0.1711554378+0.2137323372j)
(4129000000+0j),(-0.06079620123-0.6082536897j),(1.231791612e-05-0.0002328319242j),(5.245547072e-05-0.0002238965535j),(-0.1509094238+0.2195522523j)
(4130000000+0j),(-0.1234674677-0.5905395167j),(-2.428819789e-05-0.0002405188134j),(9.298672921e-06-0.000231255588j),(-0.1304668188+0.2232861846j)
(4131000000+0j),(-0.1846219003-0.5663704184j),(-2.55676041e-05-0.0002229820093j),(6.35298602e-06-0.0001732106612j),(-0.1102498844+0.224567014j)
(4132000000+0j),(-0.243465066-0.5360266252j),(-5.178550418e-05-0.0002073348442j),(2.350290197e-05-0.0001634361979j),(-0.09019525349+0.2238388031j)
(4133000000+0j),(-0.2993870974-0.4996486923j),(-7.887966785e-05-0.0002051830379j),(-6.986058725e-05-0.000193340049j),(-0.0710215494+0.220729663j)
(4134000000+0j),(-0.3516404629-0.457114149j),(-0.000162339391-0.0001931183069j),(-3.748289964e-05-0.0001688536431j),(-0.0526997894+0.2156126382j)
(4135000000+0j),(-0.3995604813-0.4095193145j),(-0.0001489564165-0.0002034868085j),(-0.0001257629483-0.000245613337j),(-0.0353721194+0.2086119271j)
(4136000000+0j),(-0.442512691-0.3563928682j),(-6.634084275e-05-0.0002153258247j),(-0.0001083939642-0.0001034800152j),(-0.01939621009+0.1995310501j)
(4137000000+0j),(-0.4798952639-0.2994715498j),(-0.0001346325735-0.0001480677311j),(-0.0001506214903-0.0001175302314j),(-0.005499581806+0.1890289605j)
(4138000000+0j),(-0.5111238956-0.2380139539j),(-0.0001721151784-0.0001003911821j),(-9.633229638e-05-0.0001280597498j),(0.006695192773+0.1773884613j)
(4139000000+0j),(-0.5357241035-0.174141463j),(-0.0002081940765-0.0001174026766j),(-0.0001566260034-9.228305134e-05j),(0.01698915102+0.164725686j)
